transaction_id,items
125,"Onions, Tomatoes, Sugar, Rice"
126,"Butter, Cheese, Milk"
127,"Tomatoes, Coffee, Eggs, Biscuits, Rice, Chicken"
128,"Potatoes, Grapes, Pasta"
129,"Biscuits, Flour, Oil, Sugar"
130,"Bananas, Bread, Apples"
131,"Biscuits, Oil, Grapes"
132,"Beef, Chocolate, Apples, Sugar, Chicken"
133,"Apples, Salt, Oranges, Soda"
134,"Bread, Pasta, Grapes, Fish, Flour, Yogurt"
135,"Juice, Sugar"
136,"Beef, Rice, Onions, Apples"
137,"Oranges, Onions, Butter"
138,"Grapes, Carrots, Juice, Fish, Biscuits"
139,"Juice, Soda, Biscuits, Yogurt, Carrots"
140,"Bananas, Chocolate, Juice, Yogurt"
141,"Apples, Beef, Chicken"
142,"Bread, Onions, Pasta, Sugar, Yogurt, Tomatoes"
143,"Juice, Bananas, Coffee, Milk, Soda"
144,"Oil, Bread, Milk, Grapes"
145,"Salt, Bananas, Chocolate, Pasta"
146,"Cheese, Flour, Carrots, Grapes, Tomatoes, Coffee"
147,"Flour, Beef, Juice, Chicken"
148,"Flour, Fish, Bread, Butter, Soda, Grapes, Oranges"
149,"Tomatoes, Fish, Juice, Grapes, Salt, Bananas, Sugar"
150,"Milk, Beef"
151,"Biscuits, Beef, Rice, Butter"
152,"Cheese, Tomatoes, Yogurt"
153,"Onions, Soda, Coffee, Cheese, Bread, Apples, Carrots"
154,"Oranges, Chocolate"
155,"Sugar, Butter, Soda, Salt, Chicken, Chocolate, Bread"
156,"Onions, Flour, Grapes, Pasta"
157,"Oil, Oranges"
158,"Biscuits, Bananas, Onions, Bread, Flour"
159,"Tea, Butter, Tomatoes, Coffee, Rice"
160,"Cheese, Flour, Oil, Potatoes"
161,"Oranges, Yogurt, Butter"
162,"Grapes, Carrots"
163,"Coffee, Potatoes, Biscuits, Grapes, Eggs, Cheese"
164,"Apples, Chocolate, Milk, Beef"
165,"Tea, Oil, Sugar, Bread, Soda, Rice"
166,"Flour, Bananas, Oranges, Carrots, Tea"
167,"Flour, Pasta, Butter, Potatoes, Beef, Fish, Apples"
168,"Rice, Apples, Bread, Bananas"
169,"Sugar, Carrots, Milk, Onions, Salt, Yogurt, Juice"
170,"Biscuits, Coffee, Milk, Cereal"
171,"Chocolate, Tea"
172,"Flour, Rice, Beef, Juice, Eggs"
173,"Flour, Beef, Potatoes, Rice"
174,"Salt, Bread, Tea, Oranges"
175,"Chocolate, Sugar, Pasta, Potatoes, Oranges, Juice, Chicken"
176,"Yogurt, Carrots, Tomatoes"
177,"Tomatoes, Bread, Chocolate, Salt, Carrots"
178,"Oranges, Rice, Juice, Oil, Fish, Pasta, Apples"
179,"Yogurt, Oil, Cheese, Salt, Beef, Tomatoes, Eggs"
180,"Coffee, Yogurt"
181,"Cheese, Apples, Pasta, Coffee, Potatoes"
182,"Beef, Biscuits, Grapes, Sugar"
183,"Chocolate, Juice, Bananas, Coffee"
184,"Pasta, Apples"
185,"Grapes, Pasta, Potatoes"
186,"Bananas, Potatoes, Chocolate, Grapes, Oil, Oranges"
187,"Cereal, Chicken"
188,"Butter, Apples, Coffee"
189,"Butter, Oranges, Onions, Grapes, Tea, Apples"
190,"Cheese, Tea, Salt"
191,"Cereal, Tea"
192,"Milk, Oranges, Coffee, Fish, Salt"
193,"Coffee, Bread, Potatoes"
194,"Coffee, Eggs, Beef, Soda"
195,"Soda, Biscuits"
196,"Eggs, Oranges, Coffee, Salt, Yogurt"
197,"Yogurt, Rice, Bananas, Bread, Fish"
198,"Beef, Chocolate, Carrots"
199,"Yogurt, Bananas, Sugar, Carrots"
200,"Pasta, Oranges"
201,"Soda, Onions, Apples, Rice"
202,"Pasta, Salt, Potatoes"
203,"Beef, Tomatoes, Flour, Apples, Coffee, Eggs"
204,"Tomatoes, Sugar, Biscuits, Grapes, Rice"
205,"Juice, Grapes"
206,"Apples, Rice, Biscuits, Coffee, Oil, Chocolate, Oranges"
207,"Oranges, Bread"
208,"Biscuits, Flour, Potatoes, Oranges"
209,"Sugar, Milk, Bananas"
210,"Tomatoes, Biscuits, Rice"
211,"Oil, Eggs"
212,"Salt, Milk, Oil, Onions, Potatoes, Soda"
213,"Bread, Chicken, Salt, Eggs, Butter, Tomatoes"
214,"Bananas, Beef, Tea, Pasta"
215,"Butter, Milk, Cereal, Rice, Biscuits, Chocolate, Eggs"
216,"Sugar, Bread, Milk, Flour, Oranges, Beef"
217,"Cereal, Eggs, Sugar, Tea, Chocolate, Biscuits, Butter"
218,"Fish, Oil, Flour, Cereal"
219,"Soda, Bananas, Carrots, Sugar, Beef"
220,"Biscuits, Salt, Juice, Oranges, Carrots, Grapes, Tea"
221,"Beef, Butter, Fish, Cereal, Grapes, Carrots"
222,"Apples, Butter, Tomatoes, Oil, Flour"
223,"Cheese, Grapes, Soda, Yogurt"
224,"Flour, Cereal, Sugar, Eggs"
225,"Carrots, Tomatoes"
226,"Yogurt, Beef, Tomatoes, Oil"
227,"Sugar, Onions, Chocolate, Fish, Tea, Biscuits"
228,"Carrots, Eggs"
229,"Grapes, Juice"
230,"Potatoes, Carrots, Chocolate, Bread, Chicken, Sugar"
231,"Beef, Grapes, Onions, Milk, Potatoes, Chocolate"
232,"Oil, Potatoes, Milk"
233,"Sugar, Flour"
234,"Cheese, Eggs, Chicken"
235,"Oil, Coffee, Soda"
236,"Tea, Potatoes, Cereal, Bread, Cheese, Tomatoes"
237,"Coffee, Salt, Potatoes, Chocolate, Cereal, Butter, Juice"
238,"Soda, Rice"
239,"Bread, Chocolate, Bananas, Juice, Eggs, Biscuits"
240,"Onions, Sugar, Tomatoes"
241,"Yogurt, Bananas, Potatoes"
242,"Biscuits, Eggs, Chocolate, Sugar, Apples"
243,"Tea, Chicken, Pasta, Yogurt, Apples, Coffee"
244,"Biscuits, Yogurt, Apples, Butter"
245,"Potatoes, Coffee, Eggs, Chicken, Cheese, Pasta, Bread"
246,"Yogurt, Eggs, Pasta, Chicken, Sugar"
247,"Rice, Oranges, Milk, Grapes, Tomatoes"
248,"Chocolate, Pasta, Biscuits, Butter, Soda, Rice"
249,"Salt, Bananas, Juice, Sugar, Flour, Tomatoes, Chicken"
250,"Soda, Milk, Eggs, Rice, Apples, Oil"
251,"Carrots, Butter"
252,"Coffee, Yogurt, Salt, Oil, Oranges"
253,"Carrots, Beef, Rice, Flour, Apples, Coffee, Soda"
254,"Milk, Soda, Sugar"
255,"Flour, Pasta, Bread, Salt, Cereal, Beef, Milk"
256,"Chocolate, Eggs, Yogurt, Bread, Tomatoes, Rice"
257,"Fish, Sugar, Salt, Rice"
258,"Juice, Chocolate, Tea, Cereal"
259,"Oil, Oranges, Cereal"
260,"Cheese, Carrots, Grapes"
261,"Tomatoes, Pasta"
262,"Beef, Sugar, Pasta, Soda, Carrots"
263,"Grapes, Oranges"
264,"Butter, Bread, Carrots, Tomatoes, Tea, Beef, Apples"
265,"Bananas, Coffee, Soda, Rice, Tea, Cheese"
266,"Tomatoes, Sugar"
267,"Bananas, Carrots, Butter, Oranges, Cheese"
268,"Milk, Tomatoes, Sugar, Grapes, Salt, Beef, Flour"
269,"Fish, Oranges"
270,"Salt, Bananas, Coffee"
271,"Apples, Tomatoes, Milk, Bread, Carrots, Rice, Tea"
272,"Biscuits, Oil"
273,"Soda, Chicken, Rice"
274,"Salt, Soda"
275,"Flour, Biscuits, Salt"
276,"Juice, Onions, Sugar"
277,"Pasta, Fish, Sugar, Chocolate, Cereal, Beef, Bananas"
278,"Apples, Oil, Bread, Pasta, Rice"
279,"Eggs, Onions, Salt, Chicken"
280,"Chicken, Rice"
281,"Potatoes, Pasta, Beef, Tomatoes"
282,"Tea, Apples"
283,"Chicken, Pasta, Carrots, Yogurt"
284,"Bananas, Biscuits, Oranges, Yogurt, Salt"
285,"Rice, Biscuits, Yogurt, Bananas, Coffee, Potatoes"
286,"Cereal, Salt, Oil, Yogurt"
287,"Milk, Flour, Bananas, Sugar, Oranges, Pasta"
288,"Beef, Apples"
289,"Fish, Chocolate"
290,"Oranges, Soda, Milk, Carrots, Coffee, Chocolate, Bananas"
291,"Yogurt, Butter, Milk, Oil, Chocolate, Potatoes, Soda"
292,"Oranges, Flour, Butter, Soda"
293,"Sugar, Potatoes, Butter, Eggs, Onions, Chicken"
294,"Butter, Coffee, Fish, Cheese, Sugar, Milk, Tomatoes"
295,"Grapes, Beef"
296,"Butter, Flour, Tomatoes"
297,"Grapes, Coffee, Chocolate, Biscuits, Pasta"
298,"Fish, Carrots"
299,"Salt, Pasta, Tomatoes, Oil"
300,"Sugar, Chocolate, Carrots"
301,"Beef, Butter"
302,"Oil, Chocolate, Chicken"
303,"Beef, Tomatoes, Flour, Butter, Rice, Salt"
304,"Bread, Pasta, Tomatoes, Coffee, Chocolate"
305,"Grapes, Salt, Milk, Eggs"
306,"Pasta, Sugar, Tea, Oranges"
307,"Tea, Cheese, Grapes, Chicken, Oranges, Biscuits"
308,"Butter, Carrots, Fish, Oil, Potatoes, Eggs, Beef"
309,"Tomatoes, Chicken, Oil, Eggs, Yogurt"
310,"Flour, Biscuits, Milk"
311,"Cereal, Oil, Bread, Chocolate"
312,"Butter, Rice, Oil"
313,"Tomatoes, Butter, Beef, Tea, Cheese, Milk"
314,"Pasta, Rice, Tomatoes, Tea, Salt"
315,"Oranges, Bread, Rice"
316,"Cheese, Yogurt, Fish, Chicken, Tomatoes, Eggs"
317,"Bread, Butter, Milk, Pasta, Fish, Tea"
318,"Oranges, Chocolate, Coffee"
319,"Carrots, Potatoes, Pasta"
320,"Chocolate, Chicken, Potatoes, Fish, Milk, Rice, Juice"
321,"Potatoes, Juice, Sugar, Chicken, Oranges"
322,"Carrots, Milk, Flour, Sugar"
323,"Bread, Biscuits"
324,"Chocolate, Yogurt, Eggs, Coffee"
325,"Chicken, Carrots, Fish, Beef, Onions, Biscuits, Chocolate"
326,"Onions, Beef"
327,"Tea, Onions, Beef, Cereal, Bread, Grapes"
328,"Bread, Yogurt, Chocolate"
329,"Apples, Juice"
330,"Oil, Coffee, Carrots, Cheese, Eggs, Juice, Pasta"
331,"Coffee, Fish, Milk, Eggs"
332,"Oranges, Beef"
333,"Butter, Juice, Oranges, Beef"
334,"Onions, Tomatoes, Cereal, Beef, Cheese"
335,"Yogurt, Onions, Potatoes, Chocolate, Eggs, Biscuits"
336,"Potatoes, Bananas, Cereal, Tea, Carrots, Flour"
337,"Flour, Fish, Rice"
338,"Biscuits, Pasta, Bananas"
339,"Flour, Juice, Chocolate, Cereal"
340,"Oranges, Butter, Pasta"
341,"Bananas, Cereal, Oil, Beef, Chicken"
342,"Rice, Biscuits, Apples"
343,"Cheese, Sugar"
344,"Milk, Bread, Tea"
345,"Fish, Pasta, Rice, Bread, Carrots, Cheese, Milk"
346,"Coffee, Pasta, Apples"
347,"Cereal, Cheese, Soda, Bread"
348,"Apples, Onions"
349,"Potatoes, Sugar, Yogurt, Rice"
350,"Apples, Bread, Soda, Chocolate, Cheese"
351,"Apples, Grapes, Yogurt, Butter, Bread, Chicken, Cereal"
352,"Yogurt, Flour, Potatoes, Rice, Cheese, Oranges, Sugar"
353,"Eggs, Bananas, Cereal, Yogurt, Cheese"
354,"Rice, Tea, Coffee, Milk, Butter, Juice, Tomatoes"
355,"Butter, Chicken, Eggs"
356,"Apples, Flour"
357,"Cheese, Soda, Chocolate, Apples"
358,"Pasta, Grapes, Tomatoes, Fish, Oil, Chocolate, Potatoes"
359,"Grapes, Chocolate, Rice, Coffee, Salt, Carrots"
360,"Bananas, Salt, Cheese, Soda, Potatoes, Sugar, Bread"
361,"Biscuits, Onions, Juice, Bread, Soda"
362,"Bananas, Pasta, Fish, Eggs, Onions, Coffee, Oranges"
363,"Oranges, Potatoes"
364,"Coffee, Biscuits, Oranges, Pasta, Potatoes"
365,"Tea, Cereal, Bread, Sugar, Cheese"
366,"Cereal, Bread"
367,"Sugar, Biscuits"
368,"Butter, Pasta, Bananas, Oranges, Biscuits, Sugar"
369,"Bananas, Salt, Oranges, Yogurt, Rice, Grapes, Chocolate"
370,"Carrots, Yogurt, Cereal, Oranges, Rice"
371,"Onions, Bread, Oil, Apples, Cereal"
372,"Salt, Tomatoes, Bread, Butter"
373,"Butter, Chicken, Coffee, Carrots, Onions, Yogurt"
374,"Oil, Eggs, Beef, Flour, Tomatoes"
375,"Butter, Salt, Yogurt"
376,"Chicken, Cereal, Tea, Biscuits"
377,"Beef, Biscuits, Pasta, Sugar, Bread"
378,"Carrots, Apples, Oil"
379,"Tomatoes, Beef, Tea"
380,"Oil, Grapes, Chocolate, Chicken, Pasta"
381,"Onions, Tea, Juice, Tomatoes, Chicken, Apples, Milk"
382,"Salt, Eggs, Flour, Chicken, Milk, Tea"
383,"Bread, Sugar"
384,"Grapes, Cereal, Onions, Pasta, Bread, Tomatoes"
385,"Oranges, Grapes, Onions, Cheese"
386,"Chocolate, Juice, Eggs, Yogurt, Apples, Biscuits"
387,"Tea, Butter, Coffee, Cheese, Biscuits, Eggs, Cereal"
388,"Sugar, Coffee, Salt, Chicken, Fish, Onions, Tomatoes"
389,"Chicken, Flour, Potatoes, Bread, Rice, Juice"
390,"Potatoes, Carrots, Bananas, Biscuits"
391,"Coffee, Soda, Cereal, Potatoes, Tomatoes"
392,"Onions, Eggs, Sugar, Salt, Juice, Yogurt"
393,"Cheese, Grapes, Flour"
394,"Sugar, Carrots, Soda, Grapes, Bananas, Milk"
395,"Tea, Rice, Chocolate, Bread, Butter, Bananas"
396,"Tomatoes, Beef, Bread, Oranges, Grapes"
397,"Cheese, Milk, Chocolate"
398,"Chicken, Bread, Soda, Rice, Tea"
399,"Cheese, Oil, Soda, Carrots, Cereal"
400,"Cheese, Chicken, Tomatoes"
401,"Rice, Milk, Butter, Juice"
402,"Carrots, Oil"
403,"Biscuits, Eggs, Bananas, Flour"
404,"Apples, Tomatoes, Juice, Sugar"
405,"Salt, Oranges"
406,"Soda, Bananas, Milk, Sugar, Cheese"
407,"Milk, Onions, Potatoes, Apples, Chicken, Cereal, Tea"
408,"Juice, Biscuits, Cheese"
409,"Butter, Eggs"
410,"Juice, Salt, Chicken, Soda, Coffee, Oil"
411,"Carrots, Cereal, Bananas, Tea, Biscuits"
412,"Tomatoes, Yogurt, Milk, Pasta, Sugar, Oranges, Bananas"
413,"Eggs, Rice, Potatoes"
414,"Eggs, Bananas"
415,"Oil, Butter, Beef, Juice, Tea"
416,"Potatoes, Biscuits, Milk"
417,"Carrots, Soda, Juice, Biscuits, Eggs"
418,"Bananas, Flour, Oil, Tomatoes, Rice, Grapes"
419,"Bread, Milk, Tea"
420,"Oil, Pasta, Sugar, Onions"
421,"Bread, Flour, Apples, Soda, Onions"
422,"Butter, Oil, Yogurt, Cereal, Fish"
423,"Biscuits, Eggs, Cereal, Soda, Oranges, Cheese"
424,"Rice, Oil, Yogurt, Eggs, Grapes"
425,"Potatoes, Milk, Sugar, Soda"
426,"Fish, Pasta, Onions, Biscuits, Juice, Sugar"
427,"Bread, Oranges, Tea, Juice, Fish, Pasta, Coffee"
428,"Bananas, Chocolate, Milk, Potatoes, Oil, Fish"
429,"Salt, Milk, Grapes, Tomatoes, Coffee"
430,"Sugar, Tomatoes"
431,"Butter, Cheese, Carrots, Oil, Cereal, Flour, Oranges"
432,"Flour, Salt, Oil, Sugar, Yogurt, Rice"
433,"Cheese, Soda, Milk, Juice"
434,"Biscuits, Salt, Cereal, Yogurt"
435,"Beef, Apples, Juice, Butter, Salt"
436,"Chocolate, Cheese, Eggs, Flour, Soda, Chicken"
437,"Cereal, Apples, Tomatoes, Bananas, Potatoes, Juice"
438,"Butter, Eggs"
439,"Cereal, Rice, Fish, Carrots, Flour, Oranges, Apples"
440,"Beef, Juice, Tea, Eggs"
441,"Rice, Chicken, Oranges, Butter, Salt, Pasta"
442,"Tomatoes, Cereal"
443,"Fish, Butter, Salt, Pasta, Yogurt, Chocolate, Beef"
444,"Tomatoes, Biscuits, Grapes, Beef, Flour"
445,"Pasta, Butter, Oil, Apples"
446,"Coffee, Tea, Beef, Soda, Grapes, Cheese, Carrots"
447,"Carrots, Eggs, Pasta, Tomatoes, Onions, Potatoes"
448,"Salt, Beef, Yogurt, Cheese, Rice, Eggs, Bread"
449,"Chicken, Soda, Carrots, Flour"
450,"Cheese, Juice, Bread, Oranges, Rice, Bananas"
451,"Flour, Eggs"
452,"Oil, Potatoes, Flour, Sugar, Pasta, Coffee, Fish"
453,"Oil, Bananas, Juice, Butter"
454,"Oranges, Soda, Potatoes, Chocolate, Oil"
455,"Tea, Rice, Cheese, Oranges, Flour"
456,"Soda, Onions, Butter, Potatoes, Coffee, Apples, Juice"
457,"Biscuits, Sugar, Apples, Rice, Salt"
458,"Rice, Oil, Butter, Apples, Coffee, Onions"
459,"Potatoes, Salt, Rice, Oranges, Flour, Tomatoes"
460,"Fish, Cheese, Bread"
461,"Biscuits, Milk, Rice, Potatoes, Carrots"
462,"Beef, Fish, Bread, Oranges, Tea"
463,"Eggs, Milk, Bread"
464,"Soda, Fish, Oranges, Tea, Apples"
465,"Oranges, Chicken, Chocolate, Pasta"
466,"Grapes, Onions"
467,"Milk, Salt"
468,"Juice, Yogurt, Chicken, Tea"
469,"Bread, Tea"
470,"Flour, Cereal, Rice"
471,"Bananas, Eggs"
472,"Tomatoes, Potatoes, Bread, Onions"
473,"Carrots, Salt, Fish, Bread, Juice, Tomatoes"
474,"Oranges, Soda, Chocolate, Grapes, Cereal, Butter"
475,"Carrots, Eggs"
476,"Grapes, Sugar, Chicken, Potatoes"
477,"Beef, Oranges, Yogurt, Apples, Biscuits, Eggs, Potatoes"
478,"Chocolate, Pasta, Apples"
479,"Flour, Milk, Chicken, Cereal, Eggs, Tea, Pasta"
480,"Chocolate, Flour, Rice"
481,"Coffee, Flour, Biscuits, Onions, Oranges, Sugar"
482,"Oranges, Potatoes, Juice, Tomatoes"
483,"Salt, Eggs, Beef, Tea, Oranges, Rice, Juice"
484,"Bread, Yogurt, Onions"
485,"Tomatoes, Soda, Biscuits, Pasta, Tea, Milk"
486,"Salt, Sugar, Oranges, Chocolate, Oil, Milk"
487,"Sugar, Pasta, Bananas, Fish, Milk, Oil, Tomatoes"
488,"Grapes, Rice, Fish, Potatoes, Butter, Soda"
489,"Grapes, Carrots"
490,"Beef, Yogurt"
491,"Cereal, Potatoes, Eggs"
492,"Tomatoes, Eggs, Butter, Oil, Bananas, Chocolate, Bread"
493,"Salt, Chicken"
494,"Oranges, Eggs, Soda"
495,"Apples, Oil"
496,"Tea, Carrots"
497,"Chocolate, Yogurt, Juice, Tea, Oranges"
498,"Onions, Milk, Fish, Coffee, Chicken, Bananas, Eggs"
499,"Bananas, Onions, Cheese, Bread"
500,"Soda, Potatoes, Chicken, Salt, Juice, Grapes"
501,"Rice, Flour, Juice"
502,"Oil, Tea, Oranges, Chocolate, Onions, Chicken, Fish"
503,"Tomatoes, Milk, Chocolate"
504,"Eggs, Coffee"
505,"Cheese, Yogurt, Tea, Butter, Onions"
506,"Cheese, Eggs, Rice, Pasta, Tea"
507,"Cereal, Bread, Fish"
508,"Juice, Grapes, Butter, Tea, Biscuits, Tomatoes"
509,"Chocolate, Carrots, Grapes, Soda, Yogurt"
510,"Onions, Juice, Biscuits, Salt"
511,"Pasta, Cereal, Onions, Carrots, Yogurt, Apples, Flour"
512,"Eggs, Chocolate, Bananas, Soda"
513,"Chicken, Salt, Chocolate, Juice, Rice, Bananas, Bread"
514,"Onions, Oranges, Rice, Pasta, Carrots"
515,"Apples, Fish, Tea, Biscuits"
516,"Eggs, Tomatoes, Cheese, Bananas, Grapes, Oil"
517,"Tomatoes, Onions, Coffee, Rice, Cereal, Oranges, Chicken"
518,"Flour, Pasta, Cheese"
519,"Fish, Cereal, Chicken, Juice"
520,"Fish, Beef"
521,"Chicken, Milk, Biscuits, Pasta, Fish"
522,"Butter, Eggs, Fish"
523,"Beef, Biscuits, Flour, Potatoes, Soda, Cheese, Tea"
524,"Salt, Oranges, Biscuits, Chocolate"
525,"Pasta, Bread"
526,"Oil, Tomatoes, Carrots, Pasta, Grapes, Fish, Butter"
527,"Juice, Yogurt"
528,"Chocolate, Eggs"
529,"Carrots, Oil"
530,"Fish, Cereal, Flour, Salt, Potatoes, Yogurt, Milk"
531,"Biscuits, Chocolate, Carrots, Apples, Coffee, Fish"
532,"Potatoes, Butter, Salt"
533,"Soda, Eggs, Grapes, Fish, Cereal"
534,"Potatoes, Yogurt, Sugar, Tomatoes"
535,"Cheese, Beef"
536,"Chocolate, Soda, Salt, Oranges, Apples, Beef"
537,"Yogurt, Butter"
538,"Apples, Coffee"
539,"Pasta, Oil, Soda"
540,"Apples, Pasta, Oil"
541,"Tomatoes, Potatoes, Onions, Oil, Fish, Sugar"
542,"Biscuits, Onions, Pasta, Chocolate, Cereal, Grapes, Eggs"
543,"Bananas, Flour"
544,"Apples, Tomatoes, Oil, Cheese, Chicken, Salt"
545,"Beef, Rice, Tomatoes"
546,"Oranges, Tea, Juice, Salt, Cheese"
547,"Oil, Cheese, Apples, Bananas, Yogurt, Onions, Milk"
548,"Bananas, Chicken, Oranges, Salt, Tea, Flour"
549,"Biscuits, Bread, Milk, Grapes, Pasta"
550,"Onions, Biscuits"
551,"Oranges, Grapes, Eggs, Chocolate, Sugar, Cheese"
552,"Eggs, Tomatoes"
553,"Potatoes, Grapes, Milk, Bananas, Pasta, Tomatoes"
554,"Milk, Chicken, Chocolate, Beef, Tomatoes, Grapes, Cheese"
555,"Bread, Chocolate, Apples, Soda, Potatoes"
556,"Grapes, Biscuits, Rice, Potatoes, Cheese"
557,"Bananas, Coffee, Juice"
558,"Oranges, Bread, Soda, Oil, Sugar, Biscuits, Cereal"
559,"Coffee, Carrots, Potatoes, Grapes"
